(robotpower) ➜  hw7_network_compression_tohw3 git:(master) ✗ python train_from_scratch.py ~/Downloads/food-11
Reading data
loading training 9866 32
loading validation 3430 32
StudentNet(
  (cnn): Sequential(
    (0): Sequential(
      (0): Conv2d(3, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (1): Sequential(
      (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(16, 32, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (2): Sequential(
      (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(32, 64, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (3): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (4): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
    )
    (5): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (6): AdaptiveAvgPool2d(output_size=(1, 1))
  )
  (fc): Sequential(
    (0): Linear(in_features=256, out_features=11, bias=True)
epoch  29: train loss: 1.1185, acc 0.6214 valid loss: 1.0864, acc 0.6484
epoch  30: train loss: 1.1061, acc 0.6278 valid loss: 1.3221, acc 0.5971
epoch  31: train loss: 1.0900, acc 0.6355 valid loss: 1.1810, acc 0.6230
epoch  32: train loss: 1.0818, acc 0.6421 valid loss: 1.2399, acc 0.6070
epoch  33: train loss: 1.0784, acc 0.6345 valid loss: 1.2696, acc 0.6090
epoch  34: train loss: 1.0722, acc 0.6439 valid loss: 1.1611, acc 0.6484
epoch  35: train loss: 1.0582, acc 0.6403 valid loss: 1.1635, acc 0.6431
epoch  36: train loss: 1.0509, acc 0.6535 valid loss: 1.1524, acc 0.6137
epoch  37: train loss: 1.0363, acc 0.6547 valid loss: 1.0903, acc 0.6376
epoch  38: train loss: 1.0481, acc 0.6522 valid loss: 1.0783, acc 0.6595
epoch  39: train loss: 1.0300, acc 0.6564 valid loss: 1.2340, acc 0.6271
epoch  40: train loss: 1.0205, acc 0.6636 valid loss: 1.0800, acc 0.6668
epoch  41: train loss: 0.9958, acc 0.6691 valid loss: 1.2181, acc 0.6452
epoch  42: train loss: 0.9983, acc 0.6652 valid loss: 1.0138, acc 0.6901
epoch  43: train loss: 0.9922, acc 0.6721 valid loss: 0.9684, acc 0.6921
epoch  44: train loss: 0.9819, acc 0.6759 valid loss: 0.9756, acc 0.6872
epoch  45: train loss: 0.9683, acc 0.6804 valid loss: 1.0070, acc 0.6819
epoch  46: train loss: 0.9649, acc 0.6804 valid loss: 1.0288, acc 0.6930
epoch  47: train loss: 0.9535, acc 0.6833 valid loss: 1.0168, acc 0.6743
epoch  48: train loss: 0.9526, acc 0.6849 valid loss: 1.1005, acc 0.6609
epoch  49: train loss: 0.9428, acc 0.6834 valid loss: 1.0343, acc 0.6773
epoch  50: train loss: 0.9590, acc 0.6794 valid loss: 0.9173, acc 0.7087
epoch  51: train loss: 0.9296, acc 0.6896 valid loss: 0.9768, acc 0.6953
epoch  52: train loss: 0.9337, acc 0.6907 valid loss: 1.0716, acc 0.6781
epoch  53: train loss: 0.9127, acc 0.6973 valid loss: 1.1293, acc 0.6656
epoch  54: train loss: 0.9278, acc 0.6858 valid loss: 1.0472, acc 0.6808
epoch  55: train loss: 0.9242, acc 0.6936 valid loss: 0.9729, acc 0.6866
epoch  56: train loss: 0.9084, acc 0.6979 valid loss: 1.0016, acc 0.6910
epoch  57: train loss: 0.8867, acc 0.7033 valid loss: 1.0450, acc 0.6866
epoch  58: train loss: 0.8924, acc 0.6974 valid loss: 1.0432, acc 0.6741
epoch  59: train loss: 0.8861, acc 0.7067 valid loss: 0.9548, acc 0.7006
epoch  60: train loss: 0.8844, acc 0.7085 valid loss: 0.9213, acc 0.7064
epoch  61: train loss: 0.8929, acc 0.7067 valid loss: 0.9544, acc 0.6927
epoch  62: train loss: 0.8767, acc 0.7105 valid loss: 0.9208, acc 0.7041
epoch  63: train loss: 0.8722, acc 0.7100 valid loss: 0.9632, acc 0.6983
epoch  64: train loss: 0.8550, acc 0.7168 valid loss: 0.9419, acc 0.7122
epoch  65: train loss: 0.8686, acc 0.7134 valid loss: 0.9126, acc 0.7140
epoch  66: train loss: 0.8566, acc 0.7152 valid loss: 0.8654, acc 0.7242
epoch  67: train loss: 0.8513, acc 0.7208 valid loss: 1.0926, acc 0.6831
epoch  68: train loss: 0.8465, acc 0.7147 valid loss: 0.9522, acc 0.7149
epoch  69: train loss: 0.8448, acc 0.7192 valid loss: 0.8957, acc 0.7283
epoch  70: train loss: 0.8351, acc 0.7222 valid loss: 0.8829, acc 0.7137
epoch  71: train loss: 0.8301, acc 0.7264 valid loss: 0.9640, acc 0.7020
epoch  72: train loss: 0.8308, acc 0.7278 valid loss: 1.0094, acc 0.6834
epoch  73: train loss: 0.8200, acc 0.7251 valid loss: 0.9394, acc 0.7061
epoch  74: train loss: 0.8207, acc 0.7268 valid loss: 0.9002, acc 0.7175
epoch  75: train loss: 0.8148, acc 0.7291 valid loss: 0.8893, acc 0.7187
epoch  76: train loss: 0.8291, acc 0.7266 valid loss: 0.9747, acc 0.7052
epoch  77: train loss: 0.8127, acc 0.7354 valid loss: 0.9565, acc 0.7029
epoch  78: train loss: 0.8162, acc 0.7274 valid loss: 1.0082, acc 0.6977
epoch  79: train loss: 0.8109, acc 0.7272 valid loss: 0.9374, acc 0.7175
epoch  80: train loss: 0.7979, acc 0.7340 valid loss: 0.9005, acc 0.7093
epoch  81: train loss: 0.8045, acc 0.7322 valid loss: 0.9367, acc 0.6985
epoch  82: train loss: 0.7984, acc 0.7311 valid loss: 0.8649, acc 0.7294
epoch  83: train loss: 0.7695, acc 0.7466 valid loss: 0.9262, acc 0.7067
epoch  84: train loss: 0.7790, acc 0.7414 valid loss: 0.8621, acc 0.7303
epoch  85: train loss: 0.7735, acc 0.7437 valid loss: 1.0324, acc 0.6889
epoch  86: train loss: 0.7792, acc 0.7411 valid loss: 0.9466, acc 0.7125
epoch  87: train loss: 0.7829, acc 0.7456 valid loss: 0.8516, acc 0.7376
epoch  88: train loss: 0.7739, acc 0.7434 valid loss: 0.7995, acc 0.7429
epoch  89: train loss: 0.7611, acc 0.7445 valid loss: 0.9653, acc 0.7070
epoch  90: train loss: 0.7666, acc 0.7461 valid loss: 0.8812, acc 0.7195
epoch  91: train loss: 0.7571, acc 0.7521 valid loss: 0.8363, acc 0.7391
epoch  92: train loss: 0.7481, acc 0.7489 valid loss: 0.8563, acc 0.7309
epoch  93: train loss: 0.7646, acc 0.7444 valid loss: 0.8695, acc 0.7274
epoch  94: train loss: 0.7557, acc 0.7499 valid loss: 0.8594, acc 0.7423
epoch  95: train loss: 0.7648, acc 0.7493 valid loss: 0.8952, acc 0.7227
epoch  96: train loss: 0.7415, acc 0.7513 valid loss: 0.8498, acc 0.7353
epoch  97: train loss: 0.7398, acc 0.7528 valid loss: 0.8067, acc 0.7364
epoch  98: train loss: 0.7303, acc 0.7564 valid loss: 0.8405, acc 0.7356
epoch  99: train loss: 0.7481, acc 0.7496 valid loss: 0.9335, acc 0.7230
epoch 100: train loss: 0.7380, acc 0.7543 valid loss: 0.9252, acc 0.7096
epoch 101: train loss: 0.7398, acc 0.7586 valid loss: 0.8371, acc 0.7446
epoch 102: train loss: 0.7475, acc 0.7540 valid loss: 0.8000, acc 0.7534
epoch 103: train loss: 0.7195, acc 0.7616 valid loss: 0.9256, acc 0.7338
epoch 104: train loss: 0.7278, acc 0.7591 valid loss: 0.8716, acc 0.7411
epoch 105: train loss: 0.7068, acc 0.7638 valid loss: 0.8337, acc 0.7431
epoch 106: train loss: 0.7183, acc 0.7578 valid loss: 0.8717, acc 0.7236
epoch 107: train loss: 0.7198, acc 0.7612 valid loss: 0.8460, acc 0.7341
epoch 108: train loss: 0.7210, acc 0.7578 valid loss: 0.8934, acc 0.7236
epoch 109: train loss: 0.7227, acc 0.7594 valid loss: 0.7990, acc 0.7440
epoch 110: train loss: 0.7180, acc 0.7603 valid loss: 0.8243, acc 0.7464
epoch 111: train loss: 0.7122, acc 0.7713 valid loss: 0.9976, acc 0.7044
epoch 112: train loss: 0.6952, acc 0.7688 valid loss: 0.8685, acc 0.7364
epoch 113: train loss: 0.7069, acc 0.7655 valid loss: 0.9672, acc 0.7198
epoch 114: train loss: 0.7047, acc 0.7696 valid loss: 0.8404, acc 0.7414
epoch 115: train loss: 0.6968, acc 0.7690 valid loss: 0.8895, acc 0.7367
epoch 116: train loss: 0.6806, acc 0.7721 valid loss: 0.8157, acc 0.7563
epoch 117: train loss: 0.6928, acc 0.7712 valid loss: 0.9217, acc 0.7268
epoch 118: train loss: 0.6767, acc 0.7716 valid loss: 0.8674, acc 0.7344
epoch 119: train loss: 0.6966, acc 0.7678 valid loss: 0.8278, acc 0.7446
epoch 120: train loss: 0.6874, acc 0.7694 valid loss: 0.8253, acc 0.7449
epoch 121: train loss: 0.6879, acc 0.7745 valid loss: 0.8339, acc 0.7399
epoch 122: train loss: 0.6806, acc 0.7750 valid loss: 0.9439, acc 0.7105
epoch 123: train loss: 0.6874, acc 0.7711 valid loss: 0.8334, acc 0.7461
epoch 124: train loss: 0.6984, acc 0.7693 valid loss: 0.8761, acc 0.7429
epoch 125: train loss: 0.6801, acc 0.7753 valid loss: 0.8387, acc 0.7405
epoch 126: train loss: 0.6731, acc 0.7763 valid loss: 0.9017, acc 0.7254
epoch 127: train loss: 0.6620, acc 0.7773 valid loss: 0.7915, acc 0.7534
epoch 128: train loss: 0.6794, acc 0.7718 valid loss: 0.8615, acc 0.7449
epoch 129: train loss: 0.6685, acc 0.7778 valid loss: 0.8770, acc 0.7172
epoch 130: train loss: 0.6680, acc 0.7753 valid loss: 0.8928, acc 0.7271
epoch 131: train loss: 0.6528, acc 0.7843 valid loss: 0.8864, acc 0.7306
epoch 132: train loss: 0.6668, acc 0.7758 valid loss: 0.8758, acc 0.7335
epoch 133: train loss: 0.6486, acc 0.7849 valid loss: 0.8659, acc 0.7548
epoch 134: train loss: 0.6561, acc 0.7823 valid loss: 0.9178, acc 0.7303
epoch 135: train loss: 0.6501, acc 0.7829 valid loss: 0.8558, acc 0.7356
epoch 136: train loss: 0.6489, acc 0.7825 valid loss: 0.8504, acc 0.7618
epoch 137: train loss: 0.6718, acc 0.7785 valid loss: 0.8658, acc 0.7397
epoch 138: train loss: 0.6379, acc 0.7854 valid loss: 0.8465, acc 0.7548
epoch 139: train loss: 0.6556, acc 0.7770 valid loss: 0.7613, acc 0.7741
epoch 140: train loss: 0.6392, acc 0.7881 valid loss: 0.8163, acc 0.7414
epoch 141: train loss: 0.6388, acc 0.7822 valid loss: 0.7781, acc 0.7615
epoch 142: train loss: 0.6430, acc 0.7839 valid loss: 0.8547, acc 0.7528
epoch 143: train loss: 0.6430, acc 0.7851 valid loss: 0.7813, acc 0.7650
epoch 144: train loss: 0.6318, acc 0.7898 valid loss: 0.7806, acc 0.7685
epoch 145: train loss: 0.6411, acc 0.7852 valid loss: 0.9007, acc 0.7175
epoch 146: train loss: 0.6236, acc 0.7896 valid loss: 0.8045, acc 0.7601
epoch 147: train loss: 0.6409, acc 0.7874 valid loss: 0.8733, acc 0.7420
epoch 148: train loss: 0.6392, acc 0.7891 valid loss: 0.7981, acc 0.7691
epoch 149: train loss: 0.6143, acc 0.7907 valid loss: 0.8709, acc 0.7420
epoch 150: train loss: 0.6265, acc 0.7958 valid loss: 0.8619, acc 0.7417
epoch 151: train loss: 0.6369, acc 0.7870 valid loss: 0.8128, acc 0.7563
epoch 152: train loss: 0.6133, acc 0.7964 valid loss: 0.7701, acc 0.7700
epoch 153: train loss: 0.6039, acc 0.7995 valid loss: 0.7894, acc 0.7606
epoch 154: train loss: 0.5962, acc 0.8003 valid loss: 0.7682, acc 0.7624
epoch 155: train loss: 0.6029, acc 0.7998 valid loss: 0.7836, acc 0.7612
epoch 156: train loss: 0.6224, acc 0.7937 valid loss: 0.7726, acc 0.7630
epoch 157: train loss: 0.6276, acc 0.7942 valid loss: 0.7963, acc 0.7676
epoch 158: train loss: 0.6279, acc 0.7957 valid loss: 0.8861, acc 0.7344
epoch 159: train loss: 0.6248, acc 0.7929 valid loss: 0.8027, acc 0.7685
epoch 160: train loss: 0.5953, acc 0.8008 valid loss: 0.8059, acc 0.7697
epoch 161: train loss: 0.6102, acc 0.7964 valid loss: 0.8192, acc 0.7612
epoch 162: train loss: 0.5950, acc 0.8009 valid loss: 0.8405, acc 0.7516
epoch 163: train loss: 0.6049, acc 0.7991 valid loss: 0.8489, acc 0.7534
epoch 164: train loss: 0.6104, acc 0.7972 valid loss: 0.7709, acc 0.7732
epoch 165: train loss: 0.5781, acc 0.8060 valid loss: 0.7929, acc 0.7627
epoch 166: train loss: 0.5872, acc 0.8036 valid loss: 0.7978, acc 0.7633
epoch 167: train loss: 0.5942, acc 0.8001 valid loss: 0.7959, acc 0.7682
epoch 168: train loss: 0.5949, acc 0.7992 valid loss: 0.7832, acc 0.7644
epoch 169: train loss: 0.5885, acc 0.8084 valid loss: 0.7575, acc 0.7714
epoch 170: train loss: 0.5862, acc 0.8084 valid loss: 0.8306, acc 0.7548
epoch 171: train loss: 0.6026, acc 0.8011 valid loss: 0.7276, acc 0.7697
epoch 172: train loss: 0.5877, acc 0.8001 valid loss: 0.8550, acc 0.7496
epoch 173: train loss: 0.5805, acc 0.8087 valid loss: 0.7634, acc 0.7726
epoch 174: train loss: 0.5839, acc 0.8041 valid loss: 0.8091, acc 0.7612
epoch 175: train loss: 0.5829, acc 0.8059 valid loss: 0.8422, acc 0.7569
epoch 176: train loss: 0.5911, acc 0.8045 valid loss: 0.7896, acc 0.7741
epoch 177: train loss: 0.5798, acc 0.8035 valid loss: 0.8684, acc 0.7475
epoch 178: train loss: 0.5675, acc 0.8091 valid loss: 0.8082, acc 0.7668
epoch 179: train loss: 0.5720, acc 0.8104 valid loss: 0.8531, acc 0.7472
epoch 180: train loss: 0.5785, acc 0.8083 valid loss: 0.7709, acc 0.7726
epoch 181: train loss: 0.5503, acc 0.8137 valid loss: 0.8279, acc 0.7545
epoch 182: train loss: 0.5855, acc 0.8073 valid loss: 0.8832, acc 0.7431
epoch 183: train loss: 0.5559, acc 0.8134 valid loss: 0.7788, acc 0.7638
epoch 184: train loss: 0.5787, acc 0.8096 valid loss: 0.8637, acc 0.7601
epoch 185: train loss: 0.5645, acc 0.8117 valid loss: 0.9061, acc 0.7431
epoch 186: train loss: 0.5669, acc 0.8110 valid loss: 0.7913, acc 0.7641
epoch 187: train loss: 0.5690, acc 0.8108 valid loss: 0.7937, acc 0.7688
epoch 188: train loss: 0.5480, acc 0.8186 valid loss: 0.8332, acc 0.7464
epoch 189: train loss: 0.5766, acc 0.8104 valid loss: 0.7575, acc 0.7770
epoch 190: train loss: 0.5677, acc 0.8149 valid loss: 0.8394, acc 0.7624
epoch 191: train loss: 0.5673, acc 0.8116 valid loss: 0.7816, acc 0.7665
epoch 192: train loss: 0.5532, acc 0.8171 valid loss: 0.9270, acc 0.7324
epoch 193: train loss: 0.5661, acc 0.8130 valid loss: 0.7875, acc 0.7703
epoch 194: train loss: 0.5551, acc 0.8129 valid loss: 0.7869, acc 0.7659
epoch 195: train loss: 0.5550, acc 0.8162 valid loss: 0.7863, acc 0.7679
epoch 196: train loss: 0.5457, acc 0.8187 valid loss: 0.8140, acc 0.7589
epoch 197: train loss: 0.5520, acc 0.8162 valid loss: 0.7826, acc 0.7668
epoch 198: train loss: 0.5493, acc 0.8178 valid loss: 0.8068, acc 0.7630
epoch 199: train loss: 0.5457, acc 0.8168 valid loss: 0.8434, acc 0.7493
